State,City,Service,Channel,FCC,Station,Broadcast Branding,Link,FacID,licensee,lms_application_id
Alabama,Montgomery,TV,27,http://transition.fcc.gov/fcc-bin/tvq?facid=706,/station-view/Alabama%20Public%20Television,Alabama Public Television,https://cpb.org/sites/default/files/station_logos/WBIQ_0.gif,706,ALABAMA EDUCATIONAL TELEVISION COMMISSION,25076f918a2529a7018a2d32e9e805c4
Alabama,Birmingham,TV,10,http://transition.fcc.gov/fcc-bin/tvq?facid=717,/station-view/Alabama%20Public%20Television,Alabama Public Television,https://cpb.org/sites/default/files/station_logos/wbiq-color-logo-EM0u194.png,717,ALABAMA EDUCATIONAL TELEVISION COMMISSION,25076ff389e6b97b0189fae3eef9099b
Alabama,Mount Cheaha,TV,12,http://transition.fcc.gov/fcc-bin/tvq?facid=711,/station-view/Alabama%20Public%20Television,Alabama Public Television,https://cpb.org/sites/default/files/station_logos/WBIQ_0.gif,711,ALABAMA EDUCATIONAL TELEVISION COMMISSION,25076ff38a000be8018a04c6500202ed
Alabama,Dozier,TV,10,http://transition.fcc.gov/fcc-bin/tvq?facid=714,/station-view/Alabama%20Public%20Television,Alabama Public Television,https://cpb.org/sites/default/files/station_logos/WBIQ_0.gif,714,ALABAMA EDUCATIONAL TELEVISION COMMISSION,7bd35cd5ac9f4be096e8cf6212b6c0ea
Alabama,Mobile,TV,41,http://transition.fcc.gov/fcc-bin/tvq?facid=721,/station-view/Alabama%20Public%20Television,Alabama Public Television,https://cpb.org/sites/default/files/station_logos/WBIQ_0.gif,721,ALABAMA EDUCATIONAL TELEVISION COMMISSION,25076ff36fcf8cc6016fd35c69660b8d
Alabama,Florence,TV,22,http://transition.fcc.gov/fcc-bin/tvq?facid=715,/station-view/Alabama%20Public%20Television,Alabama Public Television,https://cpb.org/sites/default/files/station_logos/WBIQ_0.gif,715,ALABAMA EDUCATIONAL TELEVISION COMMISSION,25076ff38a251b43018a3cc296d7117c
Alabama,Louisville,TV,44,http://transition.fcc.gov/fcc-bin/tvq?facid=710,/station-view/Alabama%20Public%20Television,Alabama Public Television,https://cpb.org/sites/default/files/station_logos/WBIQ_0.gif,710,ALABAMA EDUCATIONAL TELEVISION COMMISSION,25076f9167575fca016760f3c63114a3
Alabama,Huntsville,TV,24,http://transition.fcc.gov/fcc-bin/tvq?facid=713,/station-view/Alabama%20Public%20Television,Alabama Public Television,https://cpb.org/sites/default/files/station_logos/WBIQ_0.gif,713,ALABAMA EDUCATIONAL TELEVISION COMMISSION,25076ff38a436ba1018a499fa63d036e
Alabama,Demopolis,TV,19,http://transition.fcc.gov/fcc-bin/tvq?facid=720,/station-view/Alabama%20Public%20Television,Alabama Public Television,https://cpb.org/sites/default/files/station_logos/WBIQ_0.gif,720,ALABAMA EDUCATIONAL TELEVISION COMMISSION,25076f918d19afcd018d1ddf554c09a9
Alaska,Anchorage,Radio,91.1,http://transition.fcc.gov/fcc-bin/fmq?facid=805,/station-view/KSKA-FM,KSKA Public Radio,https://cpb.org/sites/default/files/station_logos/kska_fm.gif,805,ALASKA PUBLIC MEDIA,e00a238bcfce494b8b77c1b6063ebeb7
Alaska,Anchorage,Radio,90.3,http://transition.fcc.gov/fcc-bin/fmq?facid=35289,/station-view/KNBA-FM,KNBA,https://cpb.org/sites/default/files/station_logos/generic.gif,35289,KOAHNIC BROADCAST CORPORATION,253fffe09b804b328397c1b6063ebeb7
Alaska,Barrow,Radio,680,http://transition.fcc.gov/fcc-bin/amq?facid=60375,/station-view/KBRW-AM,KBRW,https://cpb.org/sites/default/files/station_logos/kbrw_am.gif,60375,,
Alaska,Barrow,Radio,91.9,http://transition.fcc.gov/fcc-bin/fmq?facid=60382,/station-view/KBRW-AM,KBRW,https://cpb.org/sites/default/files/station_logos/kbrw_am.gif,60382,"SILAKKUAGVIK COMMUNICATIONS, INC.",d3f97f7688e042c78c5ac1b6063ebeb7
Alaska,Bethel,Radio,640,http://transition.fcc.gov/fcc-bin/amq?facid=4963,/station-view/KYUK-AM,KYUK,https://cpb.org/sites/default/files/station_logos/generic.gif,4963,,
Alaska,Bethel,Radio,90.3,http://transition.fcc.gov/fcc-bin/fmq?facid=172683,/station-view/KYUK-AM,KYUK,https://cpb.org/sites/default/files/station_logos/generic.gif,172683,"BETHEL BROADCASTING, INC.",25076f9191bdbb100191ed7219032593
Alaska,Chevak,Radio,88.1,http://transition.fcc.gov/fcc-bin/fmq?facid=33453,/station-view/KCUK-FM,NV1 Native Voice One,https://cpb.org/sites/default/files/station_logos/generic.gif,33453,KASHUNAMIUT SCHOOL DISTRICT,25076f9184355aa301845281efdc05ba
Alaska,Fairbanks,Radio,89.9,http://transition.fcc.gov/fcc-bin/fmq?facid=85347,/station-view/KUAC-FM,KUAC,https://cpb.org/sites/default/files/station_logos/kuac_fm.gif,85347,UNIVERSITY OF ALASKA,178f237f406d428db1c5c1b6063ebeb7
Alaska,Dillingham,Radio,670,http://transition.fcc.gov/fcc-bin/amq?facid=16932,/station-view/KDLG-AM,KDLG Public Radio for Southwest Alaska,https://cpb.org/sites/default/files/station_logos/kdlg_am.gif,16932,,
Alaska,Dillingham,Radio,89.9,http://transition.fcc.gov/fcc-bin/fmq?facid=171933,/station-view/KDLG-AM,KDLG Public Radio for Southwest Alaska,https://cpb.org/sites/default/files/station_logos/kdlg_am.gif,171933,DILLINGHAM CITY SCHOOL DISTRICT,6f24400981fc44e48da6c1b6063ebeb7
Alaska,Ft. Yukon,Radio,900,http://transition.fcc.gov/fcc-bin/amq?facid=25701,/station-view/KZPA-AM,KZPA,,25701,,
Alaska,Kaltag,Radio,98.1,http://transition.fcc.gov/fcc-bin/fmq?facid=178864,/station-view/KIYU-FM,KIYU,https://cpb.org/sites/default/files/station_logos/kiyu_7.jpg,178864,BIG RIVER PUBLIC BROADCASTING CORPORATION,fae952d6a9bc48ecb493c1b6063ebeb7
Alaska,Huslia,Radio,98.1,http://transition.fcc.gov/fcc-bin/fmq?facid=178866,/station-view/KIYU-FM,KIYU,https://cpb.org/sites/default/files/station_logos/kiyu_6.jpg,178866,BIG RIVER PUBLIC BROADCASTING CORPORATION,5b25e3798bb64eefb90bc1b6063ebeb7
Alaska,Galena,Radio,97.1,http://transition.fcc.gov/fcc-bin/fmq?facid=178861,/station-view/KIYU-FM,KIYU,https://cpb.org/sites/default/files/station_logos/kiyu_5.jpg,178861,BIG RIVER PUBLIC BROADCASTING CORPORATION,25076f91958c42420195915c5aba00c6
Alaska,Nulato,Radio,99.1,http://transition.fcc.gov/fcc-bin/fmq?facid=178863,/station-view/KIYU-FM,KIYU,https://cpb.org/sites/default/files/station_logos/kiyu_6.jpg,178863,BIG RIVER PUBLIC BROADCASTING CORPORATION,670257a81030498b800ac1b6063ebeb7
Alaska,Koyukuk,Radio,98.1,http://transition.fcc.gov/fcc-bin/fmq?facid=178865,/station-view/KIYU-FM,KIYU,https://cpb.org/sites/default/files/station_logos/kiyu_6.jpg,178865,BIG RIVER PUBLIC BROADCASTING CORPORATION,c4e8269ba9bf41f0a65cc1b6063ebeb7
Alaska,Ruby,Radio,98.1,http://transition.fcc.gov/fcc-bin/fmq?facid=178862,/station-view/KIYU-FM,KIYU,https://cpb.org/sites/default/files/station_logos/kiyu_6.jpg,178862,BIG RIVER PUBLIC BROADCASTING CORPORATION,174cdbbcbcb44ffe9c3ec1b6063ebeb7
Alaska,Haines,Radio,102.3,http://transition.fcc.gov/fcc-bin/fmq?facid=39331,/station-view/KHNS-FM,Community Radio KHNS,https://cpb.org/sites/default/files/station_logos/generic.gif,39331,LYNN CANAL BROADCASTING,25076f9177f541d20178191d5ac2086a
Alaska,Homer,Radio,890,http://transition.fcc.gov/fcc-bin/amq?facid=33256,/station-view/KBBI-AM,KBBI,https://cpb.org/sites/default/files/station_logos/kbbi_am_0.gif,33256,,
Alaska,Juneau,Radio,102.7,http://transition.fcc.gov/fcc-bin/fmq?facid=17049,/station-view/KTOO-FM,Music & Arts for the Capital City,https://cpb.org/sites/default/files/station_logos/01_KRNN%20Logo%20-%20color.png,17049,KTOO PUBLIC MEDIA,25076ff3905466e2019083f68b060ff4
Alaska,Juneau,Radio,104.3,http://transition.fcc.gov/fcc-bin/fmq?facid=8650,/station-view/KTOO-FM,KTOO News Radio,https://cpb.org/sites/default/files/station_logos/02_KTOO%20Logo%20-%20color%20bars.png,8650,KTOO PUBLIC MEDIA,99b661b079d84928916cc1b6063ebeb7
Alaska,Juneau,Radio,100.7,http://transition.fcc.gov/fcc-bin/fmq?facid=31000,/station-view/KTOO-FM,Excellent Radio,https://cpb.org/sites/default/files/station_logos/01_KXLL%20Logo%20-%20color.png,31000,KTOO PUBLIC MEDIA,25076ff3905466e20190841dea1b1029
